id,user_id,timestamp,order_details,status,type,percent
1,18,2023-03-08 07:20:10.336720,My roof needs repair,in-process,structural,85.62
2,20,2023-04-12 11:35:25.718935,There's a leak in my water pipe,waiting,waterworks,92.18
3,15,2023-05-19 15:50:40.992624,My electrical wiring is faulty,waiting,electrical,78.76
4,9,2023-06-25 20:05:55.317624,There are termites in my basement,waiting,pesticide,81.34
5,14,2023-07-31 00:20:10.872308,My garden needs pruning,completed,arborist,87.89
6,11,2023-09-06 04:35:25.221496,My HVAC system needs servicing,in-process,structural,74.56
7,16,2023-10-12 08:50:40.518730,There's a problem with my circuit breaker,completed,electrical,93.76
8,19,2023-11-17 13:05:55.823490,My windows need replacement,waiting,structural,80.91
9,12,2023-12-24 17:20:10.112358,There's a mold issue in my attic,waiting,structural,89.25
10,17,2024-01-29 21:35:25.529837,My pipes are clogged,completed,waterworks,72.84
11,13,2024-03-06 01:50:40.917304,My electrical outlets aren't working,waiting,electrical,95.37
12,10,2024-04-12 06:05:55.224839,My roof is leaking,in-process,structural,82.46
13,15,2024-05-17 10:20:10.610528,There's a wasp nest in my backyard,waiting,pesticide,87.15
14,7,2024-06-23 14:35:25.996240,My sink is blocked,waiting,waterworks,90.62
15,9,2024-07-29 18:50:40.327896,There's a crack in my foundation,waiting,structural,78.29
16,12,2024-09-04 23:05:55.722930,My ceiling fan isn't working,waiting,electrical,91.94
17,14,2024-10-11 03:20:10.119430,My lawn needs fertilizing,waiting,arborist,76.83
18,16,2024-11-16 07:35:25.496247,There's a problem with my light switches,waiting,electrical,83.76
19,18,2024-12-23 11:50:40.872874,There's a crack in my wall,waiting,structural,88.12
20,20,2025-01-29 16:05:56.227485,My kitchen faucet is leaking,waiting,waterworks,75.49
21,11,2025-03-07 20:20:10.598274,There's a rat infestation in my attic,waiting,pesticide,92.06
22,13,2025-04-14 00:35:25.927394,My trees need trimming,waiting,arborist,86.27
23,15,2025-05-20 04:50:41.328773,My toilet is running constantly,waiting,waterworks,79.58
24,17,2025-06-26 09:05:56.722930,My basement floods during heavy rain,waiting,waterworks,94.71
25,19,2025-08-02 13:20:11.119430,There's a short circuit in my kitchen,waiting,electrical,77.29
26,10,2025-09-08 17:35:26.496247,There's a crack in my driveway,waiting,structural,85.67
27,12,2025-10-15 21:50:41.872874,My air conditioner isn't cooling properly,waiting,structural,90.12
28,14,2025-11-22 02:05:57.227485,There's a problem with my thermostat,waiting,structural,71.38
29,16,2025-12-28 06:20:12.598274,My shower is leaking,waiting,waterworks,97.29
30,18,2026-02-04 10:35:27.927394,There's a bee hive under my porch,waiting,pesticide,82.68
31,20,2026-03-13 14:50:42.328773,My water pump needs repair,waiting,waterworks,88.75
32,11,2026-04-19 19:05:57.722930,My roof needs repair,waiting,structural,73.86
